"xseconds,"rate"
"5:","188"
"10:","191"
"15:","187"
"20:","190"
"25:","190"
"30:","190"
"35:","190"
"40:","190"
"45:","190"
"50:","155"
"55:","143"
"60:","142"
"65:","143"
"70:","143"
"75:","143"
"80:","143"
"85:","142"
"90:","143"
"95:","143"
"100:","143"
"105:","143"
"110:","141"
"115:","140"
"120:","143"
"125:","132"
"130:","143"
"135:","142"
"140:","143"
"145:","135"
"150:","134"
"155:","133"
"160:","141"
"165:","142"
"170:","140"
"175:","140"
"180:","139"
"185:","143"
"190:","143"
"195:","143"
"200:","142"
"205:","136"
"210:","137"
"215:","147"
"220:","169"
"225:","224"
"230:","255"
"235:","289"
"240:","339"
