"xseconds,"rate"
"5:","256"
"10:","224"
"15:","189"
"20:","191"
"25:","188"
"30:","191"
"35:","191"
"40:","191"
"45:","192"
"50:","191"
"55:","190"
"60:","154"
"65:","143"
"70:","142"
"75:","143"
"80:","143"
"85:","144"
"90:","143"
"95:","142"
"100:","143"
"105:","143"
"110:","144"
"115:","143"
"120:","142"
"125:","141"
"130:","143"
"135:","130"
"140:","143"
"145:","143"
"150:","143"
"155:","134"
"160:","135"
"165:","133"
"170:","141"
"175:","142"
"180:","140"
"185:","141"
"190:","139"
"195:","143"
"200:","143"
"205:","143"
"210:","142"
"215:","135"
"220:","138"
"225:","149"
"230:","171"
"235:","225"
"240:","256"
