"xseconds,"rate"
"5:","54"
"10:","90"
"15:","250"
"20:","245"
"25:","248"
"30:","258"
"35:","251"
"40:","251"
"45:","248"
"50:","245"
"55:","249"
"60:","245"
"65:","248"
"70:","249"
"75:","252"
"80:","246"
"85:","242"
"90:","249"
"95:","253"
"100:","239"
"105:","252"
"110:","247"
"115:","245"
"120:","233"
"125:","245"
"130:","255"
"135:","252"
"140:","245"
"145:","250"
"150:","261"
"155:","258"
"160:","247"
"165:","254"
"170:","249"
"175:","248"
"180:","245"
"185:","250"
"190:","246"
"195:","250"
"200:","250"
"205:","236"
"210:","251"
"215:","254"
"220:","256"
"225:","245"
"230:","247"
"235:","267"
"240:","337"
