"xseconds,"rate"
"5:","126"
"10:","248"
"15:","267"
"20:","191"
"25:","175"
"30:","175"
"35:","174"
"40:","174"
"45:","174"
"50:","171"
"55:","175"
"60:","175"
"65:","174"
"70:","176"
"75:","175"
"80:","174"
"85:","172"
"90:","176"
"95:","174"
"100:","172"
"105:","175"
"110:","173"
"115:","168"
"120:","169"
"125:","169"
"130:","173"
"135:","174"
"140:","175"
"145:","173"
"150:","175"
"155:","174"
"160:","171"
"165:","175"
"170:","172"
"175:","173"
"180:","175"
"185:","176"
"190:","174"
"195:","175"
"200:","173"
"205:","172"
"210:","165"
"215:","173"
"220:","173"
"225:","173"
"230:","168"
"235:","173"
"240:","175"
