"xseconds,"rate"
"5:","219"
"10:","184"
"15:","186"
"20:","187"
"25:","187"
"30:","173"
"35:","183"
"40:","187"
"45:","186"
"50:","187"
"55:","187"
"60:","198"
"65:","201"
"70:","203"
"75:","204"
"80:","202"
"85:","201"
"90:","199"
"95:","194"
"100:","201"
"105:","201"
"110:","200"
"115:","202"
"120:","203"
"125:","202"
"130:","199"
"135:","202"
"140:","203"
"145:","203"
"150:","204"
"155:","199"
"160:","201"
"165:","201"
"170:","203"
"175:","203"
"180:","201"
"185:","202"
"190:","195"
"195:","202"
"200:","202"
"205:","203"
"210:","202"
"215:","195"
"220:","213"
"225:","257"
"230:","323"
"235:","391"
"240:","454"
