"xseconds,"rate"
"5:","173"
"10:","174"
"15:","168"
"20:","173"
"25:","169"
"30:","162"
"35:","171"
"40:","174"
"45:","174"
"50:","174"
"55:","173"
"60:","170"
"65:","174"
"70:","174"
"75:","174"
"80:","174"
"85:","173"
"90:","166"
"95:","174"
"100:","173"
"105:","174"
"110:","173"
"115:","169"
"120:","174"
"125:","169"
"130:","171"
"135:","173"
"140:","159"
"145:","174"
"150:","174"
"155:","174"
"160:","174"
"165:","174"
"170:","173"
"175:","171"
"180:","174"
"185:","173"
"190:","170"
"195:","174"
"200:","170"
"205:","163"
"210:","173"
"215:","178"
"220:","210"
"225:","247"
"230:","276"
"235:","300"
"240:","345"
