"xseconds,"rate"
"5:","107"
"10:","113"
"15:","108"
"20:","113"
"25:","104"
"30:","115"
"35:","113"
"40:","112"
"45:","112"
"50:","116"
"55:","116"
"60:","115"
"65:","115"
"70:","114"
"75:","115"
"80:","115"
"85:","115"
"90:","116"
"95:","112"
"100:","115"
"105:","116"
"110:","116"
"115:","115"
"120:","116"
"125:","116"
"130:","116"
"135:","116"
"140:","116"
"145:","115"
"150:","116"
"155:","113"
"160:","112"
"165:","112"
"170:","116"
"175:","116"
"180:","115"
"185:","115"
"190:","115"
"195:","115"
"200:","115"
"205:","115"
"210:","115"
"215:","112"
"220:","114"
"225:","115"
"230:","115"
"235:","120"
"240:","185"
