"xseconds,"rate"
"5:","84"
"10:","82"
"15:","83"
"20:","84"
"25:","84"
"30:","82"
"35:","83"
"40:","86"
"45:","84"
"50:","84"
"55:","83"
"60:","200"
"65:","243"
"70:","241"
"75:","255"
"80:","244"
"85:","243"
"90:","259"
"95:","234"
"100:","254"
"105:","251"
"110:","239"
"115:","247"
"120:","250"
"125:","242"
"130:","253"
"135:","255"
"140:","257"
"145:","255"
"150:","250"
"155:","247"
"160:","255"
"165:","254"
"170:","242"
"175:","240"
"180:","248"
"185:","242"
"190:","244"
"195:","250"
"200:","244"
"205:","242"
"210:","254"
"215:","244"
"220:","253"
"225:","243"
"230:","244"
"235:","264"
"240:","314"
