"xseconds,"rate"
"5:","150"
"10:","144"
"15:","145"
"20:","145"
"25:","143"
"30:","145"
"35:","145"
"40:","144"
"45:","147"
"50:","143"
"55:","144"
"60:","143"
"65:","145"
"70:","142"
"75:","143"
"80:","147"
"85:","143"
"90:","137"
"95:","146"
"100:","142"
"105:","141"
"110:","142"
"115:","141"
"120:","144"
"125:","136"
"130:","140"
"135:","144"
"140:","145"
"145:","145"
"150:","144"
"155:","147"
"160:","143"
"165:","144"
"170:","143"
"175:","145"
"180:","142"
"185:","145"
"190:","144"
"195:","144"
"200:","146"
"205:","146"
"210:","144"
"215:","146"
"220:","144"
"225:","144"
"230:","141"
"235:","150"
"240:","180"
