"xseconds,"rate"
"5:","172"
"10:","149"
"15:","146"
"20:","145"
"25:","144"
"30:","145"
"35:","145"
"40:","144"
"45:","145"
"50:","146"
"55:","145"
"60:","142"
"65:","144"
"70:","144"
"75:","142"
"80:","145"
"85:","145"
"90:","142"
"95:","141"
"100:","143"
"105:","141"
"110:","143"
"115:","145"
"120:","139"
"125:","144"
"130:","148"
"135:","139"
"140:","146"
"145:","146"
"150:","144"
"155:","145"
"160:","146"
"165:","143"
"170:","145"
"175:","145"
"180:","142"
"185:","143"
"190:","147"
"195:","143"
"200:","145"
"205:","147"
"210:","146"
"215:","145"
"220:","147"
"225:","144"
"230:","143"
"235:","145"
"240:","150"
