"xseconds,"rate"
"5:","96"
"10:","92"
"15:","92"
"20:","91"
"25:","93"
"30:","92"
"35:","90"
"40:","93"
"45:","92"
"50:","93"
"55:","162"
"60:","265"
"65:","259"
"70:","258"
"75:","265"
"80:","262"
"85:","264"
"90:","265"
"95:","249"
"100:","268"
"105:","257"
"110:","259"
"115:","264"
"120:","267"
"125:","255"
"130:","260"
"135:","262"
"140:","246"
"145:","267"
"150:","257"
"155:","262"
"160:","261"
"165:","257"
"170:","251"
"175:","236"
"180:","260"
"185:","263"
"190:","265"
"195:","262"
"200:","264"
"205:","272"
"210:","257"
"215:","262"
"220:","252"
"225:","259"
"230:","270"
"235:","275"
"240:","311"
