"xseconds,"rate"
"5:","98"
"10:","89"
"15:","88"
"20:","88"
"25:","86"
"30:","85"
"35:","88"
"40:","87"
"45:","88"
"50:","88"
"55:","86"
"60:","87"
"65:","88"
"70:","85"
"75:","87"
"80:","86"
"85:","86"
"90:","85"
"95:","88"
"100:","87"
"105:","87"
"110:","86"
"115:","86"
"120:","87"
"125:","87"
"130:","87"
"135:","87"
"140:","86"
"145:","86"
"150:","84"
"155:","87"
"160:","87"
"165:","87"
"170:","87"
"175:","88"
"180:","87"
"185:","87"
"190:","87"
"195:","88"
"200:","86"
"205:","86"
"210:","85"
"215:","87"
"220:","87"
"225:","87"
"230:","87"
"235:","89"
"240:","92"
