"xseconds,"rate"
"5:","184"
"10:","112"
"15:","113"
"20:","108"
"25:","113"
"30:","104"
"35:","115"
"40:","113"
"45:","116"
"50:","110"
"55:","115"
"60:","115"
"65:","116"
"70:","115"
"75:","113"
"80:","116"
"85:","115"
"90:","116"
"95:","116"
"100:","112"
"105:","116"
"110:","116"
"115:","116"
"120:","115"
"125:","116"
"130:","115"
"135:","116"
"140:","116"
"145:","116"
"150:","116"
"155:","115"
"160:","114"
"165:","119"
"170:","112"
"175:","115"
"180:","115"
"185:","116"
"190:","116"
"195:","115"
"200:","115"
"205:","115"
"210:","115"
"215:","115"
"220:","113"
"225:","114"
"230:","115"
"235:","115"
"240:","116"
