"xseconds,"rate"
"5:","82"
"10:","83"
"15:","83"
"20:","85"
"25:","83"
"30:","82"
"35:","84"
"40:","85"
"45:","84"
"50:","84"
"55:","83"
"60:","221"
"65:","251"
"70:","242"
"75:","251"
"80:","244"
"85:","251"
"90:","253"
"95:","238"
"100:","253"
"105:","248"
"110:","240"
"115:","250"
"120:","242"
"125:","247"
"130:","255"
"135:","258"
"140:","253"
"145:","256"
"150:","248"
"155:","246"
"160:","257"
"165:","252"
"170:","242"
"175:","237"
"180:","253"
"185:","240"
"190:","245"
"195:","246"
"200:","247"
"205:","244"
"210:","251"
"215:","245"
"220:","253"
"225:","243"
"230:","247"
"235:","275"
"240:","349"
