"xseconds,"rate"
"5:","52"
"10:","189"
"15:","252"
"20:","242"
"25:","247"
"30:","238"
"35:","248"
"40:","237"
"45:","246"
"50:","256"
"55:","226"
"60:","254"
"65:","235"
"70:","254"
"75:","254"
"80:","240"
"85:","245"
"90:","240"
"95:","245"
"100:","236"
"105:","232"
"110:","228"
"115:","253"
"120:","235"
"125:","248"
"130:","250"
"135:","230"
"140:","244"
"145:","249"
"150:","251"
"155:","240"
"160:","240"
"165:","249"
"170:","247"
"175:","247"
"180:","243"
"185:","255"
"190:","238"
"195:","242"
"200:","233"
"205:","226"
"210:","248"
"215:","252"
"220:","244"
"225:","256"
"230:","234"
"235:","241"
"240:","311"
