"xseconds,"rate"
"5:","234"
"10:","262"
"15:","202"
"20:","171"
"25:","168"
"30:","169"
"35:","167"
"40:","174"
"45:","172"
"50:","168"
"55:","169"
"60:","175"
"65:","172"
"70:","171"
"75:","169"
"80:","173"
"85:","169"
"90:","167"
"95:","174"
"100:","174"
"105:","166"
"110:","167"
"115:","161"
"120:","167"
"125:","169"
"130:","171"
"135:","170"
"140:","164"
"145:","165"
"150:","173"
"155:","163"
"160:","170"
"165:","165"
"170:","171"
"175:","173"
"180:","170"
"185:","174"
"190:","172"
"195:","165"
"200:","171"
"205:","165"
"210:","164"
"215:","175"
"220:","172"
"225:","174"
"230:","172"
"235:","170"
"240:","171"
