"xseconds,"rate"
"5:","83"
"10:","82"
"15:","82"
"20:","85"
"25:","84"
"30:","82"
"35:","83"
"40:","86"
"45:","84"
"50:","84"
"55:","83"
"60:","204"
"65:","244"
"70:","241"
"75:","256"
"80:","244"
"85:","245"
"90:","259"
"95:","233"
"100:","254"
"105:","250"
"110:","241"
"115:","246"
"120:","249"
"125:","244"
"130:","252"
"135:","256"
"140:","257"
"145:","255"
"150:","249"
"155:","245"
"160:","257"
"165:","254"
"170:","242"
"175:","241"
"180:","246"
"185:","243"
"190:","244"
"195:","250"
"200:","244"
"205:","242"
"210:","255"
"215:","243"
"220:","252"
"225:","242"
"230:","245"
"235:","267"
"240:","318"
