"xseconds,"rate"
"5:","95"
"10:","82"
"15:","83"
"20:","83"
"25:","84"
"30:","86"
"35:","79"
"40:","84"
"45:","86"
"50:","84"
"55:","84"
"60:","84"
"65:","127"
"70:","175"
"75:","171"
"80:","177"
"85:","173"
"90:","175"
"95:","174"
"100:","174"
"105:","176"
"110:","174"
"115:","169"
"120:","175"
"125:","171"
"130:","169"
"135:","172"
"140:","172"
"145:","174"
"150:","173"
"155:","169"
"160:","165"
"165:","175"
"170:","173"
"175:","172"
"180:","170"
"185:","173"
"190:","169"
"195:","175"
"200:","172"
"205:","167"
"210:","172"
"215:","172"
"220:","177"
"225:","168"
"230:","171"
"235:","175"
"240:","174"
