"xseconds,"rate"
"5:","107"
"10:","95"
"15:","91"
"20:","92"
"25:","92"
"30:","92"
"35:","91"
"40:","90"
"45:","93"
"50:","92"
"55:","93"
"60:","87"
"65:","51"
"70:","52"
"75:","52"
"80:","52"
"85:","53"
"90:","51"
"95:","51"
"100:","51"
"105:","53"
"110:","51"
"115:","52"
"120:","52"
"125:","54"
"130:","53"
"135:","53"
"140:","54"
"145:","52"
"150:","52"
"155:","53"
"160:","54"
"165:","54"
"170:","53"
"175:","53"
"180:","49"
"185:","53"
"190:","53"
"195:","53"
"200:","54"
"205:","53"
"210:","53"
"215:","53"
"220:","52"
"225:","51"
"230:","52"
"235:","54"
"240:","52"
