"xseconds,"rate"
"5:","6"
"10:","6"
"15:","6"
"20:","6"
"25:","5"
"30:","6"
"35:","5"
"40:","6"
"45:","6"
"50:","5"
"55:","5"
"60:","6"
"65:","5"
"70:","6"
"75:","6"
"80:","6"
"85:","6"
"90:","5"
"95:","6"
"100:","6"
"105:","6"
"110:","6"
"115:","6"
"120:","6"
"125:","7"
"130:","11"
"135:","11"
"140:","11"
"145:","11"
"150:","11"
"155:","11"
"160:","11"
"165:","11"
"170:","11"
"175:","11"
"180:","12"
"185:","12"
"190:","11"
"195:","11"
"200:","12"
"205:","12"
"210:","12"
"215:","12"
"220:","12"
"225:","12"
"230:","12"
"235:","12"
"240:","12"
"245:","12"
"250:","12"
"255:","12"
"260:","12"
"265:","12"
"270:","12"
"275:","12"
"280:","12"
"285:","12"
"290:","12"
"295:","12"
"300:","11"
"305:","12"
"310:","12"
"315:","12"
"320:","11"
"325:","12"
"330:","12"
"335:","12"
"340:","12"
"345:","12"
"350:","11"
"355:","12"
"360:","12"
"365:","12"
"370:","12"
"375:","12"
"380:","12"
"385:","12"
"390:","12"
"395:","12"
"400:","11"
"405:","12"
"410:","12"
"415:","12"
"420:","11"
"425:","12"
"430:","12"
"435:","12"
"440:","12"
"445:","12"
"450:","12"
"455:","12"
"460:","12"
"465:","26"
"470:","28"
"475:","27"
"480:","29"
