"xseconds,"rate"
"5:","5"
"10:","6"
"15:","6"
"20:","6"
"25:","6"
"30:","5"
"35:","5"
"40:","6"
"45:","6"
"50:","6"
"55:","6"
"60:","6"
"65:","6"
"70:","6"
"75:","6"
"80:","5"
"85:","5"
"90:","5"
"95:","5"
"100:","6"
"105:","6"
"110:","6"
"115:","6"
"120:","6"
"125:","6"
"130:","5"
"135:","6"
"140:","5"
"145:","5"
"150:","6"
"155:","12"
"160:","11"
"165:","11"
"170:","11"
"175:","11"
"180:","11"
"185:","11"
"190:","12"
"195:","11"
"200:","11"
"205:","11"
"210:","11"
"215:","11"
"220:","11"
"225:","12"
"230:","12"
"235:","11"
"240:","12"
"245:","12"
"250:","12"
"255:","12"
"260:","12"
"265:","12"
"270:","12"
"275:","12"
"280:","12"
"285:","11"
"290:","12"
"295:","12"
"300:","12"
"305:","12"
"310:","12"
"315:","12"
"320:","12"
"325:","12"
"330:","12"
"335:","11"
"340:","12"
"345:","12"
"350:","12"
"355:","12"
"360:","12"
"365:","12"
"370:","12"
"375:","12"
"380:","12"
"385:","12"
"390:","12"
"395:","12"
"400:","12"
"405:","12"
"410:","12"
"415:","11"
"420:","11"
"425:","12"
"430:","11"
"435:","13"
"440:","12"
"445:","12"
"450:","12"
"455:","12"
"460:","12"
"465:","11"
"470:","12"
"475:","16"
"480:","30"
