"xseconds,"rate"
"5:","5"
"10:","7"
"15:","11"
"20:","11"
"25:","12"
"30:","11"
"35:","12"
"40:","11"
"45:","11"
"50:","11"
"55:","12"
"60:","12"
"65:","11"
"70:","12"
"75:","11"
"80:","11"
"85:","12"
"90:","12"
"95:","12"
"100:","12"
"105:","12"
"110:","12"
"115:","12"
"120:","12"
"125:","12"
"130:","12"
"135:","12"
"140:","12"
"145:","12"
"150:","12"
"155:","12"
"160:","12"
"165:","12"
"170:","12"
"175:","12"
"180:","12"
"185:","12"
"190:","12"
"195:","12"
"200:","12"
"205:","12"
"210:","12"
"215:","12"
"220:","12"
"225:","12"
"230:","12"
"235:","12"
"240:","11"
"245:","12"
"250:","12"
"255:","12"
"260:","12"
"265:","12"
"270:","12"
"275:","12"
"280:","12"
"285:","12"
"290:","12"
"295:","12"
"300:","12"
"305:","12"
"310:","12"
"315:","12"
"320:","12"
"325:","12"
"330:","12"
"335:","12"
"340:","12"
"345:","12"
"350:","12"
"355:","12"
"360:","12"
"365:","11"
"370:","12"
"375:","12"
"380:","12"
"385:","12"
"390:","12"
"395:","12"
"400:","12"
"405:","12"
"410:","12"
"415:","12"
"420:","12"
"425:","12"
"430:","12"
"435:","12"
"440:","11"
"445:","12"
"450:","11"
"455:","12"
"460:","12"
"465:","12"
"470:","12"
"475:","20"
"480:","32"
