"xseconds,"rate"
"5:","6"
"10:","6"
"15:","6"
"20:","6"
"25:","5"
"30:","6"
"35:","6"
"40:","6"
"45:","5"
"50:","6"
"55:","6"
"60:","6"
"65:","6"
"70:","5"
"75:","6"
"80:","6"
"85:","5"
"90:","6"
"95:","6"
"100:","6"
"105:","6"
"110:","6"
"115:","6"
"120:","5"
"125:","6"
"130:","6"
"135:","6"
"140:","6"
"145:","6"
"150:","6"
"155:","6"
"160:","5"
"165:","6"
"170:","5"
"175:","6"
"180:","6"
"185:","5"
"190:","6"
"195:","6"
"200:","6"
"205:","6"
"210:","6"
"215:","5"
"220:","6"
"225:","5"
"230:","6"
"235:","6"
"240:","6"
"245:","6"
"250:","6"
"255:","6"
"260:","6"
"265:","5"
"270:","6"
"275:","6"
"280:","5"
"285:","6"
"290:","6"
"295:","6"
"300:","6"
"305:","5"
"310:","6"
"315:","6"
"320:","6"
"325:","6"
"330:","6"
"335:","6"
"340:","6"
"345:","6"
"350:","6"
"355:","5"
"360:","5"
"365:","6"
"370:","6"
"375:","6"
"380:","6"
"385:","6"
"390:","6"
"395:","5"
"400:","6"
"405:","6"
"410:","6"
"415:","5"
"420:","6"
"425:","6"
"430:","5"
"435:","5"
"440:","6"
"445:","6"
"450:","6"
"455:","6"
"460:","6"
"465:","11"
"470:","14"
"475:","15"
"480:","15"
