"xseconds,"rate"
"5:","17"
"10:","15"
"15:","15"
"20:","14"
"25:","15"
"30:","15"
"35:","15"
"40:","15"
"45:","15"
"50:","15"
"55:","15"
"60:","15"
"65:","15"
"70:","15"
"75:","15"
"80:","15"
"85:","15"
"90:","15"
"95:","15"
"100:","15"
"105:","15"
"110:","15"
"115:","15"
"120:","15"
"125:","15"
"130:","15"
"135:","15"
"140:","15"
"145:","15"
"150:","15"
"155:","15"
"160:","15"
"165:","15"
"170:","15"
"175:","15"
"180:","15"
"185:","14"
"190:","15"
"195:","15"
"200:","15"
"205:","15"
"210:","15"
"215:","15"
"220:","15"
"225:","15"
"230:","15"
"235:","15"
"240:","15"
"245:","15"
"250:","15"
"255:","15"
"260:","15"
"265:","14"
"270:","15"
"275:","15"
"280:","14"
"285:","15"
"290:","15"
"295:","15"
"300:","15"
"305:","15"
"310:","15"
"315:","15"
"320:","15"
"325:","15"
"330:","15"
"335:","15"
"340:","15"
"345:","15"
"350:","15"
"355:","14"
"360:","15"
"365:","15"
"370:","15"
"375:","15"
"380:","15"
"385:","14"
"390:","15"
"395:","15"
"400:","15"
"405:","14"
"410:","15"
"415:","15"
"420:","15"
"425:","15"
"430:","15"
"435:","15"
"440:","15"
"445:","15"
"450:","15"
"455:","15"
"460:","14"
"465:","15"
"470:","15"
"475:","15"
"480:","15"
