"xseconds,"rate"
"5:","5"
"10:","6"
"15:","6"
"20:","6"
"25:","5"
"30:","5"
"35:","6"
"40:","5"
"45:","1"
"50:","0"
"55:","0"
"60:","4"
"65:","6"
"70:","6"
"75:","5"
"80:","6"
"85:","6"
"90:","6"
"95:","6"
"100:","6"
"105:","5"
"110:","5"
"115:","5"
"120:","6"
"125:","5"
"130:","5"
"135:","6"
"140:","6"
"145:","6"
"150:","6"
"155:","5"
"160:","6"
"165:","6"
"170:","6"
"175:","5"
"180:","6"
"185:","6"
"190:","5"
"195:","6"
"200:","5"
"205:","5"
"210:","5"
"215:","6"
"220:","6"
"225:","6"
"230:","5"
"235:","5"
"240:","6"
"245:","6"
"250:","6"
"255:","6"
"260:","6"
"265:","5"
"270:","6"
"275:","6"
"280:","6"
"285:","5"
"290:","6"
"295:","6"
"300:","6"
"305:","6"
"310:","6"
"315:","5"
"320:","6"
"325:","5"
"330:","6"
"335:","6"
"340:","5"
"345:","6"
"350:","6"
"355:","5"
"360:","6"
"365:","6"
"370:","6"
"375:","5"
"380:","6"
"385:","5"
"390:","6"
"395:","6"
"400:","6"
"405:","5"
"410:","6"
"415:","6"
"420:","5"
"425:","6"
"430:","6"
"435:","5"
"440:","6"
"445:","6"
"450:","6"
"455:","5"
"460:","14"
"465:","15"
"470:","15"
"475:","15"
"480:","18"
